gene_names	score
PIK3CA	0.121900093105
MUC1	0.272714418721
CCND1	0.216531666935
CCND3	0.272714418721
CDKN1B	0.123267233987
JAK2	0.12
PPARG	0.272714418721
SMAD4	0.272714418721
NCOA1	0.120271441872
LEF1	0.272714418721
FOXO1	0.272714418721
BRCA1	0.12135720936
EGFR	0.143684963523
CTNNB1	0.202171534977
ERG	0.161931158082
TOP1	0.272714418721
CALR	0.120271441872
NFE2L2	0.12
APC	0.125448700485
NCOR2	0.272714418721
CREBBP	0.120271441872
CD74	0.272714418721
ATM	0.128087174336
PGAM2	0.12
FLT4	0.272714418721
SET	0.272714418721
EP300	0.272714418721
RARA	0.272714418721
EZH2	0.145604919671
RB1	0.272714418721
MED12	0.120271441872
PBX1	0.272714418721
ERBB2	0.153496597004
ERBB3	0.133621751212
BRCA2	0.121900093105
ERBB4	0.272714418721
CREB1	0.272714418721
BRD4	0.12
MDM2	0.128001297944
IKBKB	0.272714418721
AKT2	0.272714418721
JUN	0.272714418721
MAP3K1	0.272714418721
STAT3	0.138246194559
BRAF	0.272714418721
MSH2	0.272714418721
IL2	0.122995792115
BIRC3	0.272714418721
FOXO3	0.272714418721
FAS	0.272714418721
TERT	0.12643866006
HSP90AB1	0.12
STAT5B	0.272714418721
PMS2	0.272714418721
PIK3R1	0.272714418721
RHOA	0.272714418721
TNFAIP3	0.272714418721
NBN	0.12
PML	0.272714418721
PDGFRB	0.272714418721
NPM1	0.272714418721
HEY1	0.272714418721
MLH1	0.125448700485
DNMT3A	0.272714418721
AR	0.28
EZR	0.125448700485
PTPRK	0.12
