__mclCluster	name	PRWP	Unnamed: 0
142.0	GTF2H4	0.0	0
142.0	GTF2H2	0.0	1
143.0	COL17A1	0.0	2
143.0	ITGA6	0.0	3
	TPM3		4
14.0	UBE2V1	0.0	5
144.0	NEURL4	0.0	6
144.0	CCP110	0.0	7
62.0	RAPGEF6	0.0	8
145.0	EIF4A3	0.0	9
145.0	SRSF1	0.0	10
63.0	MAP2K3	0.0	11
146.0	PTBP1	0.0	12
23.0	AGO3	0.0	13
64.0	KLHL3	0.0	14
147.0	MAD2L1BP	2.44012052361e+12	15
148.0	ANAPC11	2.32407953773e+12	16
148.0	UBE2C	2.32407953773e+12	17
23.0	AGO1	0.0	18
149.0	NFATC1	0.0	19
149.0	FOXP3	0.0	20
150.0	GGA3	0.0	21
65.0	RNF31	2.32407953773e+12	22
151.0	HNRNPH3	0.0	23
151.0	HNRNPA1	0.0	24
66.0	NAF1	0.0	25
152.0	ZNF207	0.0	26
152.0	BUB3	0.0	27
34.0	SDC4	2.32407953773e+12	28
153.0	SGTA	0.0	29
154.0	ASGR2	0.0	30
154.0	ASGR1	0.0	31
155.0	RBCK1	0.0	32
155.0	SHARPIN	0.0	33
35.0	RRP1B	0.0	34
67.0	NFE2L1	0.0	35
156.0	SPC25	0.0	36
156.0	SPC24	0.0	37
4.0	FAF1	0.0	38
68.0	UBXN7	2.36992262595e+12	39
36.0	SLC4A1	2.75670085621e+12	40
35.0	PPP1R9A	0.0	41
69.0	PUF60	0.0	42
37.0	GTF3C1	0.0	43
63.0	DNM1L	0.0	44
63.0	LRRK2	0.0	45
157.0	ANK2	0.0	46
157.0	SLC8A1	0.0	47
158.0	OAZ1	0.0	48
158.0	ODC1	0.0	49
5.0	ACTB	0.0	50
159.0	CBX1	0.0	51
160.0	PCGF6	0.0	52
161.0	C4BPA	0.0	53
162.0	EIF2AK3	0.0	54
162.0	EIF2S1	0.0	55
	PTPN2		56
163.0	NEDD4L	0.0	57
164.0	LDHB	2.3293366419e+12	58
164.0	LDHA	2.3293366419e+12	59
10.0	EPHA2	0.0	60
165.0	CNOT1	0.0	61
165.0	TNRC6C	0.0	62
166.0	NSMCE3	0.0	63
166.0	NSMCE1	0.0	64
167.0	TOR1AIP1	0.0	65
167.0	TOR1A	0.0	66
168.0	PEX19	0.0	67
168.0	PXMP2	0.0	68
35.0	SH3RF2	0.0	69
35.0	PPP1CA	0.0	70
169.0	MMS22L	0.0	71
170.0	ISG15	0.0	72
15.0	PARK7	0.0	73
14.0	UBA52	0.0	74
	ARRDC3		75
70.0	FAM110A	0.0	76
71.0	ASXL1	0.0	77
16.0	PTTG1	2.32407953773e+12	78
171.0	SRPK2	0.0	79
171.0	SNRNP70	0.0	80
11.0	RPL26	0.0	81
172.0	APITD1	0.0	82
172.0	STRA13	0.0	83
147.0	BUB1B	2.44012052361e+12	84
173.0	UBE4B	0.0	85
72.0	DCTN4	0.0	86
174.0	SAP18	0.0	87
175.0	RAD51	4.18008406952e+12	88
38.0	CIITA	0.0	89
176.0	JDP2	0.0	90
176.0	ATF2	0.0	91
39.0	EPOR	2.33985085024e+12	92
36.0	CD79B	2.75670085621e+12	93
5.0	RECQL5	0.0	94
177.0	ATXN7	0.0	95
10.0	RAPGEF1	0.0	96
73.0	UPF1	0.0	97
37.0	GTF3C5	0.0	98
178.0	SREBF1	0.0	99
179.0	CAPN1	0.0	100
179.0	KNG1	0.0	101
180.0	LRP6	0.0	102
180.0	FZD8	0.0	103
17.0	RANBP1	0.0	104
181.0	STK26	0.0	105
181.0	PDCD10	0.0	106
18.0	NFYB	0.0	107
19.0	SLMAP	0.0	108
6.0	TP73	2.43486341944e+12	109
182.0	TPRKB	0.0	110
182.0	OSGEP	0.0	111
183.0	MCM2	7.02500200196e+12	112
184.0	PPP2R5D	0.0	113
184.0	SGO1	0.0	114
185.0	RXFP2	0.0	115
74.0	ITGA2	2.32407953773e+12	116
19.0	STRN4	0.0	117
40.0	SNRPD1	0.0	118
24.0	PPM1D	0.0	119
14.0	NUMBL	0.0	120
186.0	SMC5	0.0	121
186.0	SMC6	0.0	122
75.0	LEO1	0.0	123
25.0	KARS	0.0	124
18.0	GATA2	0.0	125
187.0	IL12RB1	0.0	126
187.0	IL12B	0.0	127
18.0	SP1	0.0	128
76.0	KMT5A	2.32407953773e+12	129
23.0	AGO2	0.0	130
26.0	GGA2	2.3293366419e+12	131
188.0	SELE	0.0	132
188.0	SELPLG	0.0	133
189.0	COPS7B	2.32407953773e+12	134
189.0	COPS5	2.32407953773e+12	135
190.0	SOD1	0.0	136
190.0	RNF19A	0.0	137
191.0	EEF1G	0.0	138
77.0	PLSCR1	0.0	139
41.0	IRAK1	2.64259058176e+12	140
192.0	HIP1	0.0	141
27.0	TIMP1	7.15136484913e+12	142
193.0	SOS1	0.0	143
193.0	HCK	0.0	144
42.0	ZPR1	0.0	145
34.0	ADCY5	2.32407953773e+12	146
12.0	GNAI2	0.0	147
194.0	RMI1	0.0	148
194.0	RMI2	0.0	149
28.0	SF3A3	0.0	150
195.0	KCNJ6	0.0	151
195.0	KCNJ3	0.0	152
196.0	CPSF6	0.0	153
197.0	SIX4	0.0	154
197.0	EYA3	0.0	155
16.0	ANAPC10	2.32407953773e+12	156
43.0	RPL24	0.0	157
37.0	GTF3C4	0.0	158
37.0	GTF3C2	0.0	159
198.0	BUB1	0.0	160
198.0	KNL1	0.0	161
199.0	PPP2R1B	0.0	162
199.0	PPP2R5A	0.0	163
	PHC2		164
200.0	EXOSC5	0.0	165
200.0	EXOSC4	0.0	166
201.0	DOT1L	0.0	167
201.0	MLLT1	0.0	168
202.0	RASSF4	0.0	169
78.0	AP2A2	0.0	170
	TOP3A		171
79.0	RGS16	0.0	172
27.0	CD44	7.15136484913e+12	173
203.0	NID1	0.0	174
203.0	HSPG2	0.0	175
44.0	THOC3	0.0	176
161.0	C4B	0.0	177
204.0	C4A	0.0	178
204.0	CR1	0.0	179
205.0	PIK3R1	0.0	180
205.0	TRAT1	0.0	181
8.0	UBE2M	0.0	182
80.0	GALNT1	2.32407953773e+12	183
206.0	NF2	0.0	184
206.0	AMOT	0.0	185
45.0	PPP6R2	0.0	186
207.0	CAPG	0.0	187
81.0	PPP3CA	0.0	188
	DAXX		189
1.0	DCAF8	2.32407953773e+12	190
46.0	PPARGC1A	2.42415686404e+12	191
208.0	MAP1B	0.0	192
208.0	MAP1A	0.0	193
209.0	BDKRB2	0.0	194
209.0	NOS3	0.0	195
82.0	JAM2	0.0	196
83.0	EME1	0.0	197
20.0	CXCL9	2.32407953773e+12	198
6.0	GTF2I	2.43486341944e+12	199
210.0	TRIM33	2.32407953773e+12	200
210.0	SMAD2	2.32407953773e+12	201
169.0	TONSL	0.0	202
211.0	MADCAM1	0.0	203
	TERF2		204
84.0	RBSN	0.0	205
212.0	SPG20	0.0	206
212.0	ITCH	0.0	207
192.0	CLTB	0.0	208
213.0	STAG2	0.0	209
214.0	GRAP2	0.0	210
214.0	GAB3	0.0	211
38.0	SAP30	0.0	212
215.0	VPS29	0.0	213
216.0	EIF4B	0.0	214
217.0	PKNOX1	0.0	215
217.0	HOXB6	0.0	216
85.0	SH2D2A	0.0	217
218.0	PSMG2	0.0	218
218.0	PSMG1	0.0	219
219.0	MYRIP	0.0	220
219.0	MYO7A	0.0	221
86.0	ARRB2	0.0	222
5.0	GTF2F2	0.0	223
2.0	PTK2	0.0	224
220.0	CARM1	0.0	225
221.0	PFDN1	0.0	226
47.0	ARID4A	0.0	227
48.0	TCEA1	0.0	228
87.0	CUBN	0.0	229
77.0	FCGR2A	0.0	230
49.0	BRIP1	0.0	231
222.0	ORAI1	0.0	232
222.0	STIM1	0.0	233
223.0	MARK2	0.0	234
223.0	YWHAH	0.0	235
224.0	WRN	0.0	236
225.0	BBS1	0.0	237
226.0	RPS6KB1	0.0	238
226.0	RPTOR	0.0	239
227.0	HEXIM2	0.0	240
228.0	PRKAB2	0.0	241
228.0	PRKAA2	0.0	242
2.0	ITK	0.0	243
229.0	TTI1	0.0	244
88.0	ST8SIA4	0.0	245
42.0	LGALS3	0.0	246
80.0	GALNT2	2.32407953773e+12	247
80.0	MUC1	2.32407953773e+12	248
230.0	SHFM1	0.0	249
231.0	XCL1	0.0	250
231.0	XCR1	0.0	251
6.0	RELA	2.43486341944e+12	252
232.0	PER1	0.0	253
50.0	CD300LF	0.0	254
233.0	RAD23B	0.0	255
233.0	CETN2	0.0	256
234.0	CHD1L	0.0	257
	MYOD1		258
51.0	RASSF2	0.0	259
89.0	GATAD2B	0.0	260
235.0	CBS	0.0	261
235.0	HTT	0.0	262
236.0	KCNJ12	0.0	263
237.0	DLG2	0.0	264
237.0	CRIPT	0.0	265
	CBX8		266
238.0	MMS19	0.0	267
238.0	CIAO1	0.0	268
90.0	PFDN6	0.0	269
239.0	BAG3	0.0	270
240.0	SNX2	0.0	271
62.0	PTPN13	0.0	272
62.0	TRIP6	0.0	273
241.0	EFTUD2	0.0	274
88.0	L1CAM	0.0	275
88.0	NCAM1	0.0	276
19.0	MOB4	0.0	277
52.0	MOB1A	0.0	278
242.0	VCAN	2.32407953773e+12	279
242.0	PLA2G2A	2.32407953773e+12	280
243.0	ELN	0.0	281
243.0	MFAP2	0.0	282
91.0	RFC2	0.0	283
24.0	UBB	0.0	284
92.0	PAXIP1	0.0	285
244.0	TSG101	0.0	286
244.0	MGRN1	0.0	287
245.0	AUP1	0.0	288
245.0	UBE2G2	0.0	289
246.0	CYB5A	2.32407953773e+12	290
246.0	CYB5R3	2.32407953773e+12	291
	MAPK8		292
13.0	RCHY1	0.0	293
93.0	SREBF2	2.32407953773e+12	294
247.0	MAP3K5	2.33985085024e+12	295
247.0	MAP2K4	2.33985085024e+12	296
