Uniprot GeneSymbol  DOID    Disease Zscore  Confidence  URL
AC011523.2	AC011523.2	DOID:10283	Prostate cancer	1.508	0.8	http://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC011523.2&type2=-26&id2=DOID:10283
ANP32C	ANP32C	DOID:10283	Prostate cancer	1.239	0.6	http://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ANP32C&type2=-26&id2=DOID:10283
AP001189.4	AP001189.4	DOID:10283	Prostate cancer	1.508	0.8	http://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AP001189.4&type2=-26&id2=DOID:10283
C20orf166-AS1	C20orf166-AS1	DOID:10283	Prostate cancer	1.562	0.8	http://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=C20orf166-AS1&type2=-26&id2=DOID:10283
CASC19	CASC19	DOID:10283	Prostate cancer	1.508	0.8	http://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=CASC19&type2=-26&id2=DOID:10283
CBR3-AS1	CBR3-AS1	DOID:10283	Prostate cancer	2.626	1.3	http://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=CBR3-AS1&type2=-26&id2=DOID:10283
CTB-89H12.4	CTB-89H12.4	DOID:10283	Prostate cancer	1.562	0.8	http://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=CTB-89H12.4&type2=-26&id2=DOID:10283
DAOA-AS1	DAOA-AS1	DOID:10283	Prostate cancer	1.161	0.6	http://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=DAOA-AS1&type2=-26&id2=DOID:10283
ENSP00000001008	FKBP4	DOID:10283	Prostate cancer	3.157	1.6	http://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000001008&type2=-26&id2=DOID:10283
ENSP00000005257	RALA	DOID:10283	Prostate cancer	2.109	1.1	http://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000005257&type2=-26&id2=DOID:10283
ENSP00000005340	DVL2	DOID:10283	Prostate cancer	1.024	0.5	http://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000005340&type2=-26&id2=DOID:10283
ENSP00000007516	NDUFAB1	DOID:10283	Prostate cancer	2.141	1.1	http://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000007516&type2=-26&id2=DOID:10283
ENSP00000009180	CD9	DOID:10283	Prostate cancer	1.626	0.8	http://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000009180&type2=-26&id2=DOID:10283
ENSP00000011653	CD4	DOID:10283	Prostate cancer	2.981	1.5	http://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000011653&type2=-26&id2=DOID:10283
ENSP00000013034	NME1	DOID:10283	Prostate cancer	2.220	1.1	http://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000013034&type2=-26&id2=DOID:10283
ENSP00000013807	ERCC1	DOID:10283	Prostate cancer	1.213	0.6	http://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000013807&type2=-26&id2=DOID:10283
ENSP00000020945	SNAI2	DOID:10283	Prostate cancer	3.399	1.7	http://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000020945&type2=-26&id2=DOID:10283
ENSP00000024061	SLC45A4	DOID:10283	Prostate cancer	1.508	0.8	http://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000024061&type2=-26&id2=DOID:10283
ENSP00000027335	CDH17	DOID:10283	Prostate cancer	3.144	1.6	http://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000027335&type2=-26&id2=DOID:10283
ENSP00000040584	HOXC8	DOID:10283	Prostate cancer	1.033	0.5	http://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000040584&type2=-26&id2=DOID:10283
ENSP00000155093	ZFY	DOID:10283	Prostate cancer	1.337	0.7	http://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000155093&type2=-26&id2=DOID:10283
