__mclCluster	name	PRWP
71.0	NEDD4L	0.0
71.0	SGK1	0.0
16.0	IKBKG	0.0724328401035
16.0	NFKBIB	0.0724328401035
253.0	TAL1	0.0
8.0	HDAC1	0.120053719349
26.0	COPS5	0.0
13.0	SMAD4	0.0
44.0	IL15	0.103475485862
44.0	IL15RA	0.103475485862
14.0	NBN	0.187105317207
14.0	MRE11A	0.187105317207
516.0	ARHGEF1	0.0
516.0	GNA13	0.0
2.0	PCNA	0.194644378434
315.0	CDK2	0.0
13.0	SKI	0.0
13.0	SKIL	0.0
11.0	TAF13	0.0
11.0	TBP	0.0
43.0	EIF4E	0.0
43.0	EIF4A1	0.0
4.0	SUMO3	0.103198958945
4.0	SENP2	0.103198958945
52.0	CCL4	0.0
52.0	CCR1	0.0
144.0	RSF1	0.0
144.0	SMARCA5	0.0
515.0	IKBKAP	0.0
515.0	ELP3	0.0
139.0	ERCC4	0.0
139.0	ERCC1	0.0
14.0	H2AFX	0.187105317207
14.0	ATM	0.187105317207
51.0	SHC1	0.0
22.0	APP	0.0
91.0	GIPC1	0.142935740968
91.0	RGS19	0.142935740968
78.0	ORC2	0.0
78.0	ORC6	0.0
10.0	TNFRSF1A	0.0415697665125
10.0	RIPK1	0.0415697665125
186.0	RNH1	0.0
186.0	RNASE1	0.0
14.0	BRCA1	0.187105317207
2.0	MSH6	0.194644378434
148.0	CDKN1B	0.203878425175
148.0	CCND3	0.203878425175
243.0	CDC25A	0.342553941469
46.0	BTRC	0.0
46.0	CDC34	0.0
47.0	POLR2E	0.0
47.0	POLR2C	0.0
81.0	DNM2	0.0
81.0	CTTN	0.0
244.0	CTSB	0.235562010238
244.0	CST3	0.235562010238
252.0	NFKBIE	0.0
252.0	REL	0.0
514.0	GNAI1	0.0
514.0	RGS14	0.0
5.0	EGFR	0.169372281027
5.0	NCK2	0.169372281027
23.0	EP300	0.170763183739
23.0	EID1	0.170763183739
138.0	PRMT1	0.0
266.0	KHDRBS1	0.0
9.0	ATF3	0.0841773195146
9.0	JUN	0.0841773195146
194.0	CDK1	0.0
262.0	CCNB1	0.0
129.0	CXCR4	0.0
129.0	CCR5	0.0
29.0	LSM5	0.0
29.0	LSM7	0.0
248.0	PLCG1	0.0
106.0	WAS	0.0
238.0	PRKAR2A	0.0
121.0	EZR	0.184693425425
24.0	HIST1H3J	0.0785206700792
24.0	CHAF1A	0.0785206700792
85.0	ATRX	0.0
85.0	DAXX	0.0
135.0	MED1	0.0
135.0	MED17	0.0
9.0	FOSL2	0.0841773195146
9.0	JUNB	0.0841773195146
2.0	CDKN1A	0.194644378434
233.0	CAV1	0.572715482854
233.0	PTGS2	0.572715482854
7.0	PSMD7	0.0
7.0	PSMD6	0.0
23.0	MYOD1	0.170763183739
5.0	PDGFRB	0.169372281027
114.0	GRIA1	0.0
102.0	DLG1	0.0
513.0	DDB2	0.0
513.0	DDB1	0.0
207.0	GRB14	0.0
207.0	INSR	0.0
237.0	EIF2B2	0.0
237.0	EIF2B1	0.0
512.0	PDGFRA	0.0
512.0	PDGFC	0.0
511.0	PDHA1	0.353343015356
511.0	PDK3	0.353343015356
210.0	PPP1CC	0.0
210.0	PPP1R8	0.0
32.0	RPS6KA4	0.0
32.0	MAPK14	0.0
184.0	PEX5	0.0
27.0	PEX13	0.0785206700792
18.0	RANBP1	0.0
18.0	RAN	0.0
1.0	SKP2	0.0529413295154
268.0	CDT1	0.0
249.0	GIT1	0.0
249.0	ARHGEF6	0.0
13.0	SMAD3	0.0
-1	SMAD1	-1
161.0	FMR1	0.0
161.0	FXR2	0.0
173.0	CD28	0.0
173.0	CD86	0.0
510.0	RNF123	0.0
510.0	UBAC1	0.0
7.0	PSMC1	0.0
149.0	COL17A1	0.250034425459
149.0	ITGB4	0.250034425459
60.0	PSMA3	0.0
60.0	PSMA2	0.0
122.0	KNTC1	0.0
122.0	ZW10	0.0
128.0	GABARAPL2	0.0
128.0	ATG4B	0.0
7.0	PSMC5	0.0
7.0	TNNT1	0.0
4.0	SIAH2	0.103198958945
4.0	UBE2I	0.103198958945
