UniProtID   GeneSymbol  DOID    Disease Source  Score   Confidence
ENSP00000005260	BAIAP2L1	DOID:10283	Prostate cancer	DistiLD	p-value = 1e-06	1
ENSP00000064724	CLDN11	DOID:10283	Prostate cancer	DistiLD	p-value = 7e-22	2
ENSP00000206262	RGS17	DOID:10283	Prostate cancer	DistiLD	p-value = 4e-18	2
ENSP00000216115	BIK	DOID:10283	Prostate cancer	DistiLD	p-value = 6e-06	0
ENSP00000225893	HNF1B	DOID:10283	Prostate cancer	DistiLD	p-value = 1e-09	2
ENSP00000226355	AFM	DOID:10283	Prostate cancer	DistiLD	p-value = 5e-13	2
ENSP00000231357	IRX4	DOID:10283	Prostate cancer	DistiLD	p-value = 3e-07	2
ENSP00000237822	C2orf43	DOID:10283	Prostate cancer	DistiLD	p-value = 8e-08	2
ENSP00000250111	ATP1B2	DOID:10283	Prostate cancer	DistiLD	p-value = 9e-10	2
ENSP00000251390	LILRA3	DOID:10283	Prostate cancer	DistiLD	p-value = 5e-16	2
ENSP00000252998	RBBP8NL	DOID:10283	Prostate cancer	DistiLD	p-value = 4e-08	2
ENSP00000254730	EEFSEC	DOID:10283	Prostate cancer	DistiLD	p-value = 3e-10	2
ENSP00000256509	CHL1	DOID:10283	Prostate cancer	DistiLD	p-value = 3e-06	1
ENSP00000257566	TBX3	DOID:10283	Prostate cancer	DistiLD	p-value = 2e-11	2
ENSP00000259711	KIF13A	DOID:10283	Prostate cancer	DistiLD	p-value = 5e-06	0
ENSP00000260227	MMP7	DOID:10283	Prostate cancer	DistiLD	p-value = 2e-11	2
ENSP00000261741	RBM19	DOID:10283	Prostate cancer	DistiLD	p-value = 7e-11	2
ENSP00000262219	ANXA13	DOID:10283	Prostate cancer	DistiLD	p-value = 4e-06	1
ENSP00000263461	WDR11	DOID:10283	Prostate cancer	DistiLD	p-value = 3e-10	2
ENSP00000263780	CHMP2B	DOID:10283	Prostate cancer	DistiLD	p-value = 1e-07	2
ENSP00000263864	VAMP8	DOID:10283	Prostate cancer	DistiLD	p-value = 3e-15	2
ENSP00000263991	EHBP1	DOID:10283	Prostate cancer	DistiLD	p-value = 8e-09	2
ENSP00000264042	FARP2	DOID:10283	Prostate cancer	DistiLD	p-value = 5e-09	2
ENSP00000264229	KIAA1211	DOID:10283	Prostate cancer	DistiLD	p-value = 7e-07	1
ENSP00000264605	MLPH	DOID:10283	Prostate cancer	DistiLD	p-value = 3e-09	2
ENSP00000264664	FGF10	DOID:10283	Prostate cancer	DistiLD	p-value = 4e-08	2
ENSP00000264852	SIDT1	DOID:10283	Prostate cancer	DistiLD	p-value = 4e-13	2
ENSP00000264956	EVC	DOID:10283	Prostate cancer	DistiLD	p-value = 2e-06	1
ENSP00000265131	TNC	DOID:10283	Prostate cancer	DistiLD	p-value = 4e-06	1
ENSP00000266581	AMIGO2	DOID:10283	Prostate cancer	DistiLD	p-value = 2e-06	1
ENSP00000271915	KCNN3	DOID:10283	Prostate cancer	DistiLD	p-value = 2e-08	2
ENSP00000275162	CLVS2	DOID:10283	Prostate cancer	DistiLD	p-value = 3e-06	1
ENSP00000275300	SLC22A3	DOID:10283	Prostate cancer	DistiLD	p-value = 6e-10	2
ENSP00000280057	FAM124A	DOID:10283	Prostate cancer	DistiLD	p-value = 6e-06	0
ENSP00000282030	SETBP1	DOID:10283	Prostate cancer	DistiLD	p-value = 5e-06	0
ENSP00000282549	OTX1	DOID:10283	Prostate cancer	DistiLD	p-value = 5e-07	1
ENSP00000283928	JAZF1	DOID:10283	Prostate cancer	DistiLD	p-value = 2e-06	1
ENSP00000284995	TSEN2	DOID:10283	Prostate cancer	DistiLD	p-value = 2e-06	1
ENSP00000293308	KRT8	DOID:10283	Prostate cancer	DistiLD	p-value = 2e-07	2
ENSP00000296137	FYCO1	DOID:10283	Prostate cancer	DistiLD	p-value = 7e-06	0
ENSP00000297293	LMTK2	DOID:10283	Prostate cancer	DistiLD	p-value = 2e-08	2
ENSP00000299191	C16orf78	DOID:10283	Prostate cancer	DistiLD	p-value = 5e-06	0
ENSP00000301072	TUBA1C	DOID:10283	Prostate cancer	DistiLD	p-value = 7e-12	2
ENSP00000301242	PPP1R14A	DOID:10283	Prostate cancer	DistiLD	p-value = 2e-11	2
ENSP00000302120	TRIM8	DOID:10283	Prostate cancer	DistiLD	p-value = 5e-10	2
ENSP00000307134	CTNND2	DOID:10283	Prostate cancer	DistiLD	p-value = 2e-06	1
ENSP00000308330	MYEOV	DOID:10283	Prostate cancer	DistiLD	p-value = 2e-09	2
ENSP00000309572	TERT	DOID:10283	Prostate cancer	DistiLD	p-value = 3e-24	2
ENSP00000309823	FOXP4	DOID:10283	Prostate cancer	DistiLD	p-value = 8e-08	2
ENSP00000311825	CTBP2	DOID:10283	Prostate cancer	DistiLD	p-value = 2e-07	2
ENSP00000313854	CLPTM1L	DOID:10283	Prostate cancer	DistiLD	p-value = 1e-10	2
ENSP00000314151	KLK3	DOID:10283	Prostate cancer	DistiLD	p-value = 2e-20	2
ENSP00000317619	LACC1	DOID:10283	Prostate cancer	DistiLD	p-value = 4e-06	1
ENSP00000321746	PDLIM5	DOID:10283	Prostate cancer	DistiLD	p-value = 4e-15	2
ENSP00000322300	TMTC2	DOID:10283	Prostate cancer	DistiLD	p-value = 4e-06	1
ENSP00000324693	GRHL1	DOID:10283	Prostate cancer	DistiLD	p-value = 3e-08	2
ENSP00000332013	ZGPAT	DOID:10283	Prostate cancer	DistiLD	p-value = 4e-16	2
ENSP00000332208	RFX6	DOID:10283	Prostate cancer	DistiLD	p-value = 2e-12	2
ENSP00000332293	ASCL2	DOID:10283	Prostate cancer	DistiLD	p-value = 3e-33	2
ENSP00000336552	PKIA	DOID:10283	Prostate cancer	DistiLD	p-value = 6e-07	1
ENSP00000338190	ABLIM1	DOID:10283	Prostate cancer	DistiLD	p-value = 4e-06	1
ENSP00000341765	SPATA16	DOID:10283	Prostate cancer	DistiLD	p-value = 5e-06	0
ENSP00000341882	CNTN6	DOID:10283	Prostate cancer	DistiLD	p-value = 4e-06	1
ENSP00000342858	FERMT2	DOID:10283	Prostate cancer	DistiLD	p-value = 2e-14	2
ENSP00000348708	UPF2	DOID:10283	Prostate cancer	DistiLD	p-value = 7e-07	1
ENSP00000349588	ANK2	DOID:10283	Prostate cancer	DistiLD	p-value = 2e-06	1
ENSP00000350708	RAD23B	DOID:10283	Prostate cancer	DistiLD	p-value = 5e-14	2
ENSP00000353586	ZNF280B	DOID:10283	Prostate cancer	DistiLD	p-value = 4e-06	1
ENSP00000354686	ZNF652	DOID:10283	Prostate cancer	DistiLD	p-value = 3e-13	2
ENSP00000355930	SLC22A1	DOID:10283	Prostate cancer	DistiLD	p-value = 2e-09	2
ENSP00000356150	MDM4	DOID:10283	Prostate cancer	DistiLD	p-value = 2e-11	2
ENSP00000362139	EPHA10	DOID:10283	Prostate cancer	DistiLD	p-value = 5e-06	0
ENSP00000362863	REEP3	DOID:10283	Prostate cancer	DistiLD	p-value = 1e-08	2
ENSP00000363822	AR	DOID:10283	Prostate cancer	DistiLD	p-value = 1e-08	2
ENSP00000364163	NOTCH4	DOID:10283	Prostate cancer	DistiLD	p-value = 5e-09	2
ENSP00000364898	SYK	DOID:10283	Prostate cancer	DistiLD	p-value = 1e-06	1
ENSP00000366915	KLF5	DOID:10283	Prostate cancer	DistiLD	p-value = 3e-09	2
ENSP00000367429	C19orf69	DOID:10283	Prostate cancer	DistiLD	p-value = 2e-12	2
ENSP00000368872	INSC	DOID:10283	Prostate cancer	DistiLD	p-value = 4e-06	1
ENSP00000369351	TET2	DOID:10283	Prostate cancer	DistiLD	p-value = 3e-14	2
ENSP00000369816	SHBG	DOID:10283	Prostate cancer	DistiLD	p-value = 1e-12	2
ENSP00000370253	NKX3-1	DOID:10283	Prostate cancer	DistiLD	p-value = 3e-30	2
ENSP00000370299	SHROOM2	DOID:10283	Prostate cancer	DistiLD	p-value = 2e-10	2
ENSP00000370391	FAM9A	DOID:10283	Prostate cancer	DistiLD	p-value = 2e-08	2
ENSP00000372576	CCDC178	DOID:10283	Prostate cancer	DistiLD	p-value = 4e-06	1
ENSP00000373008	ENSP00000373008	DOID:10283	Prostate cancer	DistiLD	p-value = 2e-06	1
ENSP00000375557	POU5F1B	DOID:10283	Prostate cancer	DistiLD	p-value = 1e-10	2
ENSP00000376417	ARMC2	DOID:10283	Prostate cancer	DistiLD	p-value = 8e-09	2
ENSP00000381272	CD200R1L	DOID:10283	Prostate cancer	DistiLD	p-value = 3e-06	1
ENSP00000381436	VGLL3	DOID:10283	Prostate cancer	DistiLD	p-value = 2e-08	2
ENSP00000382271	CEP152	DOID:10283	Prostate cancer	DistiLD	p-value = 1e-07	2
ENSP00000382849	FP15737	DOID:10283	Prostate cancer	DistiLD	p-value = 7e-08	2
ENSP00000384683	RNASE9	DOID:10283	Prostate cancer	DistiLD	p-value = 1e-06	1
ENSP00000385995	THADA	DOID:10283	Prostate cancer	DistiLD	p-value = 2e-08	2
ENSP00000386896	ITGA6	DOID:10283	Prostate cancer	DistiLD	p-value = 9e-23	2
ENSP00000393042	ENSP00000393042	DOID:10283	Prostate cancer	DistiLD	p-value = 3e-08	2
ENSP00000396913	H0Y573_HUMAN	DOID:10283	Prostate cancer	DistiLD	p-value = 5e-06	0
ENSP00000401435	VPS53	DOID:10283	Prostate cancer	DistiLD	p-value = 5e-15	2
ENSP00000401946	TNRC6B	DOID:10283	Prostate cancer	DistiLD	p-value = 3e-06	1
ENSP00000402861	PLCL1	DOID:10283	Prostate cancer	DistiLD	p-value = 4e-06	1
ENSP00000406955	ZBTB38	DOID:10283	Prostate cancer	DistiLD	p-value = 2e-08	2
ENSP00000407761	ACOXL	DOID:10283	Prostate cancer	DistiLD	p-value = 4e-06	1
ENSP00000419471	RAD51B	DOID:10283	Prostate cancer	DistiLD	p-value = 3e-10	2
ENSP00000430241	EBF2	DOID:10283	Prostate cancer	DistiLD	p-value = 8e-11	2
ENSP00000463092	ENSP00000463092	DOID:10283	Prostate cancer	DistiLD	p-value = 2e-29	2
ENSP00000468524	ENSP00000468524	DOID:10283	Prostate cancer	DistiLD	p-value = 1e-06	1
ENSP00000469315	KLK15	DOID:10283	Prostate cancer	DistiLD	p-value = 1e-07	2
ENSP00000469526	ENSP00000469526	DOID:10283	Prostate cancer	DistiLD	p-value = 2e-09	2
ENSP00000470900	ENSP00000470900	DOID:10283	Prostate cancer	DistiLD	p-value = 2e-08	2
ENSP00000472440	ENSP00000472440	DOID:10283	Prostate cancer	DistiLD	p-value = 2e-08	2
