clusters	score	genes
55	1.0	LEF1:0.272714418721,APC:0.125448700485
46	0.684931390092	PML:0.272714418721,NF1:0.0
51	0.684931390092	PBX1:0.272714418721,TLX1:0.0
59	0.684931390092	CNBP:0.0,NPM1:0.272714418721
65	0.684931390092	HOXA11:0.0,FOXO1:0.272714418721
41	0.630228110406	PDGFRA:0.0,JAK1:0.272714418721,STAT5B:0.272714418721
16	0.541400081121	DAXX:0.0,NCOR2:0.272714418721,TNFAIP3:0.272714418721,BCL10:0.0,BIRC3:0.272714418721
24	0.496865256087	WWTR1:0.0,AMER1:0.0,NOTCH1:0.272714418721,CTNNB1:0.202171534977
66	0.493013836344	PIK3R1:0.272714418721,JAK3:0.0
45	0.461763713644	STAT3:0.138246194559,EZH2:0.145604919671
42	0.43919918269	RARA:0.272714418721,GNAQ:0.0,NFE2L2:0.12
63	0.394362417192	SET:0.272714418721,TFE3:0.0
31	0.37768391384	FZR1:0.0,PAX8:0.0,RB1:0.272714418721
39	0.369564923161	ZNF521:0.0,HEY1:0.272714418721,GATA1:0.0
5	0.364349388504	CRTC3:0.0,LYL1:0.0,IL2:0.122995792115,MAF:0.0,BRCA1:0.12135720936,CDKN1B:0.123267233987,FANCD2:0.0,CREB1:0.272714418721,HOXD13:0.0,MKL1:0.0,CCND3:0.272714418721
53	0.364186386579	FOXO3:0.272714418721,CFH:0.0
22	0.332055461476	BRD4:0.12,MED12:0.120271441872,PGAM2:0.12,BRD3:0.0
34	0.3080254319	MYO5A:0.0,AKT2:0.272714418721,FOXO4:0.0
30	0.307686873376	SMAD4:0.272714418721,CEBPA:0.0,CSF3R:0.0
37	0.305674499782	IKBKB:0.272714418721,PTPN11:0.0,FLT3:0.0
7	0.293390399138	PMS2:0.0,MSH2:0.272714418721,RMI2:0.0,ATM:0.128087174336,WRN:0.0,CDKN2C:0.0,NBN:0.12,MSH6:0.0,BLM:0.0
