clusters	score	genes
55	1.0	LEF1:0.272714418721,APC:0.125448700485
46	0.684931390092	PML:0.272714418721,NF1:0.0
51	0.684931390092	PBX1:0.272714418721,TLX1:0.0
59	0.684931390092	CNBP:0.0,NPM1:0.272714418721
65	0.684931390092	HOXA11:0.0,FOXO1:0.272714418721
41	0.631293266487	PDGFRA:0.0,JAK1:0.272714418721,STAT5B:0.272714418721
24	0.507371162736	WWTR1:0.0,AMER1:0.0,NOTCH1:0.272714418721,CTNNB1:0.202171534977
66	0.492559514335	PIK3R1:0.272714418721,JAK3:0.0
42	0.436790455088	RARA:0.272714418721,GNAQ:0.0,NFE2L2:0.12
63	0.399269886924	SET:0.272714418721,TFE3:0.0
16	0.391258193506	DAXX:0.0,NCOR2:0.272714418721,BIRC3:0.0,BCL10:0.0,TNFAIP3:0.272714418721
31	0.376372707461	FZR1:0.0,PAX8:0.0,RB1:0.272714418721
39	0.370513142074	ZNF521:0.0,HEY1:0.272714418721,GATA1:0.0
5	0.360579292708	CRTC3:0.0,LYL1:0.0,IL2:0.122995792115,MAF:0.0,BRCA1:0.12135720936,CDKN1B:0.123267233987,FANCD2:0.0,CREB1:0.272714418721,HOXD13:0.0,MKL1:0.0,CCND3:0.272714418721
53	0.360333317051	FOXO3:0.272714418721,CFH:0.0
22	0.326541837078	BRD4:0.12,MED12:0.120271441872,PGAM2:0.12,BRD3:0.0
34	0.309249798641	MYO5A:0.0,AKT2:0.272714418721,FOXO4:0.0
30	0.304878038201	SMAD4:0.272714418721,CEBPA:0.0,CSF3R:0.0
